文件绝对路径,求解结果(kissat),求解结果(neurobranch),求解总时间(kissat),求解总时间(neurobranch),decision时间(kissat),decision时间(neurobranch),剩余时间(kissat),剩余时间(neurobranch),decision次数(kissat),decision次数(neurobranch),conflict次数(kissat),conflict次数(neurobranch)
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_108.cnf,SAT,SAT,11.45,290026.79,0.09,290011.59,11.37,15.20,2683,1517,2180,1243
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_117.cnf,SAT,SAT,7.90,250549.05,0.05,250534.66,7.86,14.39,1511,1691,1187,1298
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_127.cnf,SAT,SAT,8.33,272315.09,0.05,272299.80,8.28,15.29,1797,1681,1227,1125
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_152.cnf,SAT,SAT,12.10,288545.75,0.09,288527.41,12.01,18.34,2570,1747,2176,1485
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_164.cnf,SAT,SAT,8.09,230248.27,0.04,230233.77,8.05,14.50,1344,1361,1083,1073
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_165.cnf,SAT,SAT,9.33,221026.73,0.07,221013.76,9.26,12.97,1990,1675,1619,1297
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_173.cnf,SAT,SAT,9.21,221027.72,0.07,221015.74,9.14,11.98,2088,1672,1384,1007
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_190.cnf,SAT,SAT,8.01,274081.99,0.05,274065.96,7.96,16.02,1562,2142,1245,1716
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_198.cnf,SAT,SAT,7.92,270458.47,0.04,270443.56,7.87,14.91,1528,1521,1118,1091
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_217.cnf,SAT,SAT,11.73,245652.07,0.08,245636.74,11.65,15.33,2502,1503,2035,1216
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_255.cnf,SAT,SAT,9.89,234379.06,0.07,234363.54,9.82,15.51,1906,1427,1612,1174
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_26.cnf,SAT,SAT,9.72,217662.70,0.06,217649.54,9.66,13.16,1559,1352,1196,1011
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_267.cnf,SAT,SAT,7.34,194824.58,0.04,194810.75,7.30,13.83,1314,1752,1072,1458
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_272.cnf,SAT,SAT,8.42,181898.27,0.05,181886.78,8.37,11.49,1588,1412,1187,1024
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_275.cnf,SAT,SAT,8.47,283658.21,0.05,283642.67,8.42,15.53,1514,1451,1202,1129
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_300.cnf,SAT,SAT,10.64,247416.66,0.07,247402.24,10.57,14.42,2164,1281,1873,1093
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_304.cnf,SAT,SAT,10.89,192525.55,0.08,192512.62,10.81,12.93,2008,1501,1762,1270
