文件绝对路径,求解结果(kissat),求解结果(neurobranch),求解总时间(kissat),求解总时间(neurobranch),decision时间(kissat),decision时间(neurobranch),剩余时间(kissat),剩余时间(neurobranch),decision次数(kissat),decision次数(neurobranch),conflict次数(kissat),conflict次数(neurobranch)
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_0.cnf,SAT,SAT,6.69,14655.10,0.03,14644.76,6.66,10.34,1202,1202,748,748
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_1.cnf,SAT,SAT,5.24,1442.88,0.00,1438.05,5.23,4.82,119,119,87,87
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_10.cnf,SAT,SAT,5.38,4262.41,0.01,4256.14,5.37,6.27,374,374,283,283
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_100.cnf,SAT,SAT,7.62,12405.92,0.03,12394.84,7.59,11.08,1051,1051,856,856
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_101.cnf,SAT,SAT,4.56,357.43,0.00,352.58,4.56,4.85,27,27,3,3
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_102.cnf,SAT,SAT,5.02,3711.55,0.01,3705.46,5.02,6.09,323,323,269,269
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_104.cnf,SAT,SAT,6.83,14602.36,0.03,14592.14,6.80,10.22,1306,1306,564,564
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_105.cnf,SAT,SAT,4.84,2316.46,0.01,2311.08,4.84,5.38,206,206,153,153
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_107.cnf,SAT,SAT,5.14,5755.14,0.01,5748.36,5.12,6.78,483,483,400,400
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_108.cnf,SAT,SAT,12.00,31704.47,0.09,31681.21,11.91,23.26,2683,2887,2180,2310
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_11.cnf,SAT,SAT,6.44,10626.29,0.02,10617.48,6.42,8.81,860,860,611,611
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_110.cnf,SAT,SAT,5.19,4017.15,0.01,4010.70,5.18,6.46,342,342,274,274
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_111.cnf,SAT,SAT,4.72,1514.29,0.00,1509.21,4.71,5.08,120,120,92,92
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_112.cnf,SAT,SAT,6.94,12203.81,0.03,12193.64,6.91,10.17,1071,1071,846,846
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_114.cnf,SAT,SAT,5.84,7770.85,0.02,7762.72,5.82,8.13,665,665,562,562
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_117.cnf,SAT,SAT,8.24,21844.66,0.05,21828.25,8.19,16.41,1511,1952,1187,1529
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_118.cnf,SAT,SAT,5.63,5603.83,0.01,5596.48,5.62,7.35,481,481,391,391
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_119.cnf,SAT,SAT,6.53,10322.35,0.02,10312.80,6.51,9.55,929,929,779,779
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_120.cnf,SAT,SAT,5.42,4875.31,0.01,4868.47,5.41,6.83,432,432,374,374
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_123.cnf,SAT,SAT,6.99,12471.31,0.03,12460.48,6.96,10.83,1135,1135,827,827
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_124.cnf,SAT,SAT,6.52,7593.38,0.02,7584.77,6.51,8.61,651,651,549,549
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_125.cnf,SAT,SAT,0.06,0.20,0.00,0.00,0.06,0.20,0,0,0,0
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_127.cnf,SAT,SAT,9.11,34235.71,0.06,34211.06,9.05,24.66,1797,3024,1227,2169
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_128.cnf,SAT,SAT,4.47,2430.47,0.01,2424.95,4.46,5.52,206,206,166,166
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_129.cnf,SAT,SAT,6.59,8501.01,0.02,8492.13,6.57,8.88,741,741,591,591
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_130.cnf,SAT,SAT,6.06,11705.48,0.03,11696.24,6.04,9.24,989,989,606,606
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_132.cnf,SAT,SAT,0.05,0.16,0.00,0.00,0.05,0.16,0,0,0,0
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_133.cnf,SAT,SAT,5.11,2885.83,0.01,2879.91,5.10,5.92,268,268,217,217
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_135.cnf,SAT,SAT,4.57,1333.66,0.00,1328.64,4.57,5.02,113,113,85,85
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_137.cnf,SAT,SAT,4.42,1664.95,0.00,1659.96,4.42,5.00,140,140,92,92
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_138.cnf,SAT,SAT,4.57,980.19,0.00,975.18,4.57,5.01,72,72,45,45
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_139.cnf,SAT,SAT,5.13,3289.87,0.01,3283.88,5.12,5.99,271,271,220,220
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_14.cnf,SAT,SAT,4.97,1658.22,0.00,1653.29,4.97,4.93,134,134,94,94
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_140.cnf,SAT,SAT,6.76,13084.13,0.03,13073.28,6.73,10.85,1171,1171,684,684
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_142.cnf,SAT,SAT,6.59,9553.34,0.02,9544.02,6.56,9.32,841,841,740,740
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_145.cnf,SAT,SAT,7.27,9171.71,0.02,9161.50,7.25,10.21,831,831,720,720
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_147.cnf,SAT,SAT,5.61,5845.98,0.01,5838.66,5.60,7.32,517,517,397,397
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_148.cnf,SAT,SAT,7.06,12472.83,0.03,12462.19,7.03,10.64,1089,1089,750,750
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_150.cnf,SAT,SAT,4.99,2915.94,0.01,2910.13,4.98,5.81,269,269,162,162
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_151.cnf,SAT,SAT,5.76,7352.58,0.02,7345.01,5.74,7.56,643,643,515,515
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_152.cnf,SAT,SAT,12.82,23952.58,0.09,23933.99,12.73,18.59,2570,2024,2176,1676
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_153.cnf,SAT,SAT,5.61,6354.50,0.02,6347.08,5.59,7.41,583,583,434,434
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_154.cnf,SAT,SAT,6.03,8742.98,0.02,8734.51,6.01,8.46,793,793,554,554
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_156.cnf,SAT,SAT,4.93,1545.86,0.00,1540.22,4.93,5.64,127,127,107,107
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_157.cnf,SAT,SAT,4.66,3074.37,0.01,3069.04,4.65,5.33,258,258,198,198
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_158.cnf,SAT,SAT,6.89,11495.81,0.04,11485.44,6.85,10.36,1045,1045,873,873
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_161.cnf,SAT,SAT,4.91,2864.31,0.01,2858.54,4.90,5.76,256,256,197,197
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_162.cnf,SAT,SAT,7.24,11401.72,0.03,11391.24,7.21,10.48,952,952,818,818
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_163.cnf,SAT,SAT,7.04,11638.14,0.03,11627.90,7.01,10.25,971,971,868,868
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_164.cnf,SAT,SAT,7.96,21312.21,0.04,21297.05,7.92,15.17,1344,1768,1083,1395
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_165.cnf,SAT,SAT,10.14,33166.76,0.07,33144.32,10.07,22.44,1990,2825,1619,2180
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_167.cnf,SAT,SAT,4.71,1568.77,0.00,1563.63,4.71,5.14,125,125,90,90
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_168.cnf,SAT,SAT,6.12,10030.06,0.02,10021.06,6.10,9.00,898,898,482,482
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_169.cnf,SAT,SAT,4.31,1486.70,0.00,1482.05,4.31,4.65,128,128,90,90
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_17.cnf,SAT,SAT,6.33,11214.32,0.02,11204.49,6.30,9.83,887,887,784,784
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_170.cnf,SAT,SAT,5.59,6612.82,0.02,6605.62,5.58,7.20,572,572,378,378
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_171.cnf,SAT,SAT,6.15,11468.19,0.03,11459.03,6.12,9.16,1060,1060,572,572
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_172.cnf,SAT,SAT,4.30,487.68,0.00,483.12,4.30,4.57,35,35,9,9
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_173.cnf,SAT,SAT,9.63,28120.68,0.07,28102.43,9.56,18.25,2088,2431,1384,1628
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_174.cnf,SAT,SAT,4.82,2929.96,0.01,2924.27,4.82,5.69,243,243,174,174
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_175.cnf,SAT,SAT,5.00,3461.62,0.01,3455.61,4.99,6.00,288,288,239,239
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_176.cnf,SAT,SAT,6.82,9313.30,0.02,9303.45,6.80,9.85,816,816,724,724
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_177.cnf,SAT,SAT,7.24,11358.02,0.03,11347.11,7.21,10.91,1040,1040,878,878
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_178.cnf,SAT,SAT,6.26,8715.43,0.02,8707.08,6.24,8.36,767,767,557,557
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_179.cnf,SAT,SAT,4.48,2990.75,0.02,2985.32,4.47,5.44,277,277,148,148
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_18.cnf,SAT,SAT,4.89,2488.00,0.01,2482.27,4.88,5.73,229,229,200,200
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_180.cnf,SAT,SAT,7.33,11355.47,0.03,11344.81,7.30,10.66,956,956,851,851
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_181.cnf,SAT,SAT,5.96,8719.84,0.02,8711.53,5.94,8.31,732,732,539,539
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_182.cnf,SAT,SAT,6.55,9085.79,0.02,9076.75,6.53,9.05,789,789,677,677
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_183.cnf,SAT,SAT,7.07,14764.95,0.04,14754.31,7.03,10.65,1260,1260,762,762
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_185.cnf,SAT,SAT,4.82,2582.01,0.01,2576.54,4.81,5.47,224,224,163,163
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_188.cnf,SAT,SAT,5.37,6826.36,0.01,6819.46,5.36,6.90,506,506,387,387
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_189.cnf,SAT,SAT,4.91,2895.74,0.01,2889.79,4.90,5.95,242,242,183,183
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_19.cnf,SAT,SAT,5.14,3062.06,0.01,3055.99,5.13,6.07,277,277,205,205
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_190.cnf,SAT,SAT,8.27,17103.19,0.05,17090.00,8.23,13.19,1562,1528,1245,1209
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_191.cnf,SAT,SAT,6.03,8738.76,0.02,8730.29,6.01,8.47,772,772,625,625
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_192.cnf,SAT,SAT,5.58,7572.87,0.02,7565.13,5.57,7.74,671,671,531,531
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_193.cnf,SAT,SAT,7.52,11874.87,0.03,11863.87,7.49,11.01,1073,1073,888,888
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_194.cnf,SAT,SAT,7.75,16486.64,0.04,16475.08,7.72,11.56,1302,1302,967,967
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_196.cnf,SAT,SAT,6.62,11567.78,0.03,11557.81,6.59,9.97,1040,1040,718,718
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_197.cnf,SAT,SAT,4.63,2757.20,0.01,2752.04,4.63,5.16,235,235,162,162
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_198.cnf,SAT,SAT,9.30,16991.70,0.06,16978.80,9.24,12.91,1528,1492,1118,1074
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_20.cnf,SAT,SAT,7.98,14235.36,0.04,14223.68,7.94,11.67,1236,1236,939,939
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_200.cnf,SAT,SAT,5.93,6385.34,0.02,6378.11,5.91,7.24,506,506,417,417
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_201.cnf,SAT,SAT,6.82,11707.32,0.03,11697.38,6.79,9.94,1006,1006,791,791
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_204.cnf,SAT,SAT,7.10,12153.26,0.03,12142.67,7.07,10.60,1057,1057,883,883
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_206.cnf,SAT,SAT,7.14,16356.79,0.04,16345.47,7.10,11.32,1490,1490,777,777
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_207.cnf,SAT,SAT,4.77,1079.23,0.00,1074.32,4.76,4.90,84,84,47,47
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_208.cnf,SAT,SAT,4.59,2203.29,0.01,2197.87,4.58,5.42,199,199,149,149
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_21.cnf,SAT,SAT,5.31,4799.14,0.01,4792.53,5.29,6.61,439,439,369,369
