文件绝对路径,求解结果(kissat),求解结果(neurobranch),求解总时间(kissat),求解总时间(neurobranch),decision时间(kissat),decision时间(neurobranch),剩余时间(kissat),剩余时间(neurobranch),decision次数(kissat),decision次数(neurobranch),conflict次数(kissat),conflict次数(neurobranch)
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_108.cnf,SAT,SAT,11.82,434793.70,0.10,434780.71,11.73,12.99,[GREEN]2683,[GREEN]1277,[GREEN]2180,[GREEN]1057
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_164.cnf,SAT,SAT,7.88,437535.86,0.04,437522.81,7.84,13.04,[GREEN]1344,[GREEN]1305,[GREEN]1083,[GREEN]1033
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_26.cnf,SAT,SAT,8.22,353704.35,0.05,353683.11,8.17,21.24,[GREEN]1559,[GREEN]1377,[GREEN]1196,[GREEN]1030
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_300.cnf,SAT,SAT,10.97,433046.06,0.08,433032.25,10.90,13.80,[GREEN]2164,[GREEN]1285,[GREEN]1873,[GREEN]1092
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_333.cnf,SAT,SAT,8.13,438347.89,0.04,438334.61,8.09,13.28,[GREEN]1341,[GREEN]1318,[GREEN]1127,[GREEN]1096
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_356.cnf,SAT,SAT,10.37,486694.06,0.07,486679.92,10.30,14.14,[GREEN]1997,[GREEN]1448,[GREEN]1626,[GREEN]1138
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_394.cnf,SAT,SAT,10.77,569581.28,0.08,569565.28,10.70,16.00,[GREEN]2179,[GREEN]1693,[GREEN]1865,[GREEN]1361
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_440.cnf,SAT,SAT,9.12,474207.24,0.06,474192.45,9.06,14.79,[GREEN]1669,[GREEN]1409,[GREEN]1423,[GREEN]1180
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_61.cnf,SAT,SAT,10.52,469397.06,0.07,469382.82,10.45,14.24,[GREEN]1970,[GREEN]1409,[GREEN]1580,[GREEN]1091
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b10/CBS_k3_n100_m403_b10_332.cnf,SAT,SAT,13.03,331321.91,0.04,331303.75,12.99,18.16,[GREEN]1303,[GREEN]1241,[GREEN]1124,[GREEN]1072
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b10/CBS_k3_n100_m403_b10_402.cnf,SAT,SAT,11.30,450199.39,0.04,450181.80,11.25,17.59,[GREEN]1350,[GREEN]1328,[GREEN]1117,[GREEN]1080
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b10/CBS_k3_n100_m403_b10_981.cnf,SAT,SAT,10.83,431571.84,0.04,431550.19,10.78,21.64,[GREEN]1325,[GREEN]1279,[GREEN]1118,[GREEN]1080
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b30/CBS_k3_n100_m403_b30_293.cnf,SAT,SAT,11.40,538093.39,0.05,538074.69,11.35,18.70,[YELLOW]1535,[YELLOW]1577,[GREEN]1153,[GREEN]1146
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b30/CBS_k3_n100_m403_b30_347.cnf,SAT,SAT,10.61,539731.85,0.05,539715.32,10.57,16.54,[GREEN]1653,[GREEN]1582,[GREEN]1114,[GREEN]1069
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b30/CBS_k3_n100_m403_b30_361.cnf,SAT,SAT,11.42,431789.17,0.04,431772.50,11.38,16.66,[GREEN]1443,[GREEN]1272,[GREEN]1172,[GREEN]1007
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b30/CBS_k3_n100_m403_b30_550.cnf,SAT,SAT,12.55,565405.67,0.07,565387.68,12.48,17.99,[GREEN]1884,[GREEN]1662,[GREEN]1459,[GREEN]1217
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b30/CBS_k3_n100_m403_b30_557.cnf,SAT,SAT,10.44,416841.25,0.04,416825.60,10.40,15.65,[GREEN]1263,[GREEN]1247,[GREEN]1059,[GREEN]1052
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b30/CBS_k3_n100_m403_b30_601.cnf,SAT,SAT,10.66,467259.98,0.04,467242.31,10.61,17.67,[GREEN]1380,[GREEN]1373,[GREEN]1085,[GREEN]1074
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b30/CBS_k3_n100_m403_b30_986.cnf,SAT,SAT,12.00,571914.31,0.06,571895.74,11.94,18.57,[GREEN]1882,[GREEN]1691,[GREEN]1220,[GREEN]1046
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b50/CBS_k3_n100_m403_b50_172.cnf,SAT,SAT,10.48,582947.71,0.05,582930.46,10.43,17.25,[GREEN]1741,[GREEN]1727,1002,1002
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b50/CBS_k3_n100_m403_b50_185.cnf,SAT,SAT,12.35,480783.56,0.05,480758.60,12.30,24.96,[GREEN]1556,[GREEN]1411,[GREEN]1228,[GREEN]1098
